tweet_id,retweet_count,favorite_count
874012996292530176,9550,32664
873580283840344065,3644,23029
873337748698140672,1482,0
873213775632977920,1482,6815
872967104147763200,5049,25976
872820683541237760,3458,14026
872620804844003328,3400,19742
872486979161796608,8409,38799
872122724285648897,7541,32723
871879754684805121,10280,35914
871762521631449091,3247,19307
871515927908634625,3243,19234
871166179821445120,5335,0
871102520638267392,5154,19975
871032628920680449,3577,21696
870804317367881728,5798,32119
870726314365509632,3,117
870656317836468226,2473,11826
870374049280663552,24765,79199
870308999962521604,3881,20918
870063196459192321,7795,34948
869772420881756160,9471,40651
869702957897576449,5922,27019
869596645499047938,2933,15293
869227993411051520,3557,19550
868880397819494401,13560,62684
868639477480148993,1952,0
868622495443632128,4982,25572
868552278524837888,1952,9672
867900495410671616,3939,23225
867774946302451713,6934,32584
867421006826221569,2347,15449
867072653475098625,115,0
867051520902168576,7431,30933
866720684873056260,4529,19258
866686824827068416,3284,18541
866450705531457537,33312,117489
866334964761202691,13487,50405
866094527597207552,7929,0
865718153858494464,5321,24694
865359393868664832,4737,25487
865006731092295680,7289,26984
864873206498414592,8246,31090
864279568663928832,2862,14050
864197398364647424,8411,28952
863907417377173506,3925,19868
863553081350529029,3985,14739
863471782782697472,2311,0
863432100342583297,4983,22981
863427515083354112,91,2144
863079547188785154,1053,8473
863062471531167744,2311,8173
862831371563274240,4894,18533
862722525377298433,3370,16507
862457590147678208,4700,19768
862096992088072192,22101,71888
861383897657036800,10239,34908
861288531465048066,3953,16614
861005113778896900,3646,16165
860981674716409858,2052,0
860924035999428608,770,0
860563773140209665,2052,7274
860524505164394496,5075,22898
860276583193509888,3346,17793
860184849394610176,5603,16166
860177593139703809,29642,0
859924526012018688,3931,18987
859851578198683649,3366,14977
859607811541651456,1496,18064
859196978902773760,28951,87328
859074603037188101,13101,32896
858860390427611136,7819,0
858843525470990336,3356,15141
858471635011153920,4671,20927
858107933456039936,2801,15340
857989990357356544,2501,15671
857746408056729600,10244,33365
857393404942143489,1583,5743
857263160327368704,4364,19551
857214891891077121,17,220
857062103051644929,164,0
857029823797047296,3860,18434
856543823941562368,2791,15946
856526610513747968,1815,11587
856330835276025856,648,0
856288084350160898,15,506
856282028240666624,6105,27155
855862651834028034,25,334
855860136149123072,958,4840
855857698524602368,2048,11614
855851453814013952,17470,44731
855818117272018944,5274,26115
855459453768019968,7997,29254
855245323840757760,5811,0
855138241867124737,43,0
854732716440526848,5923,22387
854482394044301312,6710,28792
854365224396361728,4581,18579
854120357044912130,7311,31466
854010172552949760,3084,15974
853760880890318849,5625,28164
853639147608842240,9862,34251
853299958564483072,3484,15283
852936405516943360,1966,0
852912242202992640,1784,8931
852672615818899456,2114,14733
852553447878664193,3422,16122
852311364735569921,9781,32768
852226086759018497,6734,19765
852189679701164033,1562,11330
851861385021730816,19,0
851591660324737024,3435,16106
851464819735769094,6954,24043
851224888060895234,5655,20510
850753642995093505,9034,30609
850380195714523136,2582,12989
850333567704068097,326,3428
850145622816686080,3761,16217
850019790995546112,4833,20305
849776966551130114,7539,30286
849668094696017920,4911,0
849412302885593088,3135,15792
849336543269576704,1889,11362
849051919805034497,8412,42147
848690551926992896,4284,25077
848324959059550208,4573,24639
848213670039564288,727,8148
848212111729840128,3018,16266
847978865427394560,3241,0
847971574464610304,429,0
847962785489326080,5050,23433
847842811428974592,1325,5422
847617282490613760,415,6970
847606175596138505,3405,18715
847251039262605312,4281,20462
